BEATS,BS,WS,HS,AS,OS,BA,WA,HA,AA,OA,BWS,HWS,AWS,OWS,LAT,LONG
27X,23.3995585,3.683241252,8.843967151,12.6984127,0.675904022,11.4790287,1.841620626,5.053695515,12.6984127,0.337952011,0,0,0,0,37.7722486,-122.2064236
27Y,16.3759345,1.930501931,11.33563332,2.680965147,0,8.8999644,0.965250965,6.899950715,1.340482574,0,0,0,0,0,37.76766083,-122.198952
28X,1.309243257,0.217155266,0,0,0,0.785545954,0.217155266,0,0,0,0,0,0,0,37.7812169,-122.194225
29X,54.9132948,1.899335233,8.230452675,0,15.26717557,40.46242775,1.899335233,4.115226337,0,15.26717557,0,0,0,0,37.77254693,-122.1848129
30X,29.50594694,1.652209831,21.51462995,10.43841336,1.492537313,18.06953339,1.239157373,12.90877797,2.087682672,0,0,0,0,0,37.76208058,-122.1811331
30Y,14.63414634,0,0.615839389,0,0,7.520325203,0,0.615839389,0,0,0,0,0,0,37.76593961,-122.1723944
31X,7.405375754,7.268951194,8.121277748,8.075370121,0,4.93691717,4.672897196,6.497022198,8.075370121,0,0,0,0,0,37.74381557,-122.1973687
31Y,32.43243243,26.84563758,19.59773079,90,1.554001554,23.93822394,20.13422819,18.56627127,70,1.554001554,0,0,0,0,37.73856102,-122.1906944
31Z,14.89203276,4.672897196,4.774535809,0,0,6.701414743,0,2.652519894,0,0,0,0,0,0,37.73403878,-122.1806149
32X,123.1155779,0.541125541,8.643976229,0.829187396,1.280409731,80.40201005,0.541125541,6.482982172,0,1.280409731,0,0,0,0,37.74322411,-122.1707048
32Y,9.929078014,0.503144654,2.060793405,0,0,9.929078014,0.503144654,2.060793405,0,0,0,0,0,0,37.7458863,-122.1585846
33X,48.07692308,3.555555556,6.772009029,12.5,0,35.25641026,2.666666667,5.159625927,12.5,0,0,0,0,0,37.74923873,-122.1783681
34X,62.39737274,1.017811705,6.177076184,2.450980392,0.386100386,36.94581281,0,4.118050789,0,0.386100386,0,0,0,0,37.75142226,-122.171266
35X,13.54605659,0,2.155172414,16,0.913242009,5.719446117,0,2.155172414,0,0.913242009,0,0,0,0,37.75595287,-122.1626409
35Y,0,0,1.424501425,0,0,0,0,1.424501425,0,0,0,0,0,0,37.76029269,-122.120139
